date,iv30
21-01-2021,171.3
22-01-2021,249
25-01-2021,346.3
26-01-2021,385.4
27-01-2021,400
28-01-2021,400
29-01-2021,400
1-02-2021,400
2-02-2021,398.9
3-02-2021,373.1
4-02-2021,339.3
5-02-2021,346.9
8-02-2021,297.6
9-02-2021,260.9
10-02-2021,264.9
11-02-2021,234.4
12-02-2021,205.7
16-02-2021,170.9
17-02-2021,171.7
18-02-2021,165.2
19-02-2021,158.1
22-02-2021,182.3
23-02-2021,170.7
24-02-2021,315.3
25-02-2021,399.3
26-02-2021,395.8
1-03-2021,386.2
2-03-2021,358.3
3-03-2021,329.8
4-03-2021,341
5-03-2021,323.2
8-03-2021,349.6
9-03-2021,334.4
10-03-2021,373.5
11-03-2021,363.1
12-03-2021,345.2
15-03-2021,351.6
16-03-2021,339
17-03-2021,312.2
18-03-2021,295.1
19-03-2021,280.9
22-03-2021,274.1
23-03-2021,293.2
24-03-2021,266.7
25-03-2021,275.5
26-03-2021,265.5
29-03-2021,251.3
30-03-2021,236.3
31-03-2021,220.4
1-04-2021,194.4
5-04-2021,173.6
6-04-2021,152.5
7-04-2021,156.6
8-04-2021,170.3
9-04-2021,165.5
12-04-2021,180.3
13-04-2021,171.6
14-04-2021,176.1
15-04-2021,167.6
16-04-2021,161.8
19-04-2021,154.7
20-04-2021,151.5
21-04-2021,141
22-04-2021,139.9
23-04-2021,127.2
26-04-2021,131.3
27-04-2021,126.2
28-04-2021,121.5
29-04-2021,114.1
30-04-2021,117.2
3-05-2021,121.2
4-05-2021,120.3
5-05-2021,113.4
6-05-2021,110.2
7-05-2021,103.1
10-05-2021,118.9
11-05-2021,121.1
12-05-2021,128.7
13-05-2021,134
14-05-2021,124.1
17-05-2021,133.5
18-05-2021,129.2
19-05-2021,130.9
20-05-2021,122.5
21-05-2021,122.3
24-05-2021,121.4
25-05-2021,150
26-05-2021,166.2
27-05-2021,181.5
28-05-2021,171.8